"id","name","dept","h_index","i10index","min_year","max_year","t_publication","t_pubs_citations","highest_citations","mean_of_IF","mean_of_co_authors","num_nsf","t_deflated_nsf","num_nih","t_deflated_nih","Y05yr","KTotal","KDirect","KMediated","Chi","BetCentrality","PRCentrality","XDIndicator","SchoolRank","first_xd_year","xd_dept"
"0RMteS0AAAAJ","SHIVAKANT MISHRA ","CS",29,61,1987,2016,141,4224,420,1.334,3.511,9,5864714,0,0,1985,170,4,166,0.135593220338983,393.309598267138,0.000123568716397634,"CS",40,NA,"CS"
"0SHFWCkAAAAJ","HEIDI S FISHER ","BIO",14,16,2002,2014,17,1340,544,5.487,3.824,0,0,0,0,2000,38,1,37,0.09375,0,6.37198841279416e-05,"BIO",55,NA,"BIO"
"0skgDnMAAAAJ","ALFRED CHARLES WEAVER ","CS",25,61,1977,2014,116,2151,165,2.592,2.345,5,1881179,0,0,1975,77,0,77,0.0675675675675676,0,0,"CS",29,NA,"CS"
"0sU4eAwAAAAJ","VICTORIA J ROWNTREE ","BIO",19,32,1973,2017,40,1262,129,2.934,7.475,0,0,0,0,1970,83,2,81,0.0328947368421053,242.906532040801,0.000106299354079672,"BIO",55,NA,"BIO"
"0tJWcp4AAAAJ","GREGORY PAUL COPENHAVER ","BIO",32,44,1992,2016,68,3278,408,10.089,7.853,4,1784320,0,0,1990,625,5,620,0.514124293785311,852.322525294621,0.000159598025562687,"XD",26,2000,"BIO"
"0U8U6t0AAAAJ","SANDRA GESING ","CS",10,11,2009,2016,49,534,125,2.842,9.184,2,24871,0,0,2005,191,4,187,0.276073619631902,173.000621049095,0.000140520589405631,"XD",60,2013,"CS"
"0udXcCEAAAAJ","DON J MELNICK ","BIO",38,67,1978,2016,100,4472,280,4.613,4.2,18,6890939,0,0,1975,181,2,179,0.0729166666666667,0,9.3160252850784e-05,"BIO",14,NA,"BIO"
"0uj4niwAAAAJ","CARLOS A MACHADO ","BIO",30,36,1996,2016,41,4623,1471,8.571,10.439,6,11580911,0,0,1995,558,22,536,0.558823529411765,18239.4539891557,0.000557701912326667,"XD",55,2007,"BIO"
"0VFi-vAAAAAJ","GEORGE N KOLLIOS ","CS",42,63,1998,2016,87,7480,1089,1.831,4.011,8,5601778,0,0,1995,188,15,173,0.1,6021.88500898815,0.000363571376419153,"CS",48,NA,"CS"
"0vsEnW8AAAAJ","KIMBERLY A SELKOE ","BIO",25,36,2002,2016,43,10351,3043,8.82,8.953,0,0,0,0,2000,130,7,123,0.0235849056603774,1086.17980601652,0.000252679978199722,"BIO",50,NA,"BIO"
"0vWWXXUAAAAJ","BUELENT YENER ","CS",38,79,1992,2016,84,3717,506,2.69,4.036,0,0,0,0,1990,181,8,173,0.0671140939597315,5420.16351246933,0.000244820700244472,"XD",52,2010,"CS"
"0VzUxIcAAAAJ","DARRELL WHITLEY ","CS",59,160,1987,2016,155,13968,2296,2.207,2.923,0,0,0,0,1985,74,6,68,0.12037037037037,516.678849421314,0.000236393800628352,"CS",70,NA,"CS"
"0w0Dy34AAAAJ","JUDY QIU ","CS",21,45,2008,2016,57,1994,811,1.631,5.351,7,10559479,0,0,2005,265,9,256,0.278688524590164,5686.90026945974,0.00027031299503386,"CS",52,NA,"CS"
